wallet,amount
0xf259aa578a90fe2572dc63406029846e29e8b3416c23910b4f56824ed83def2a,262646.200720508
0x5dfd214ec1f2c30877bf6d1175d90a0ea952860b392825b89e4c9a4c6509ffc6,156183.362506194
0x0fe18564149488463f04e6ce2fe65b617b002b44d4a117ae8c67f65317c9fbcc,151059.043689306
0x70c0703114d50353abe24bc0b427bbdcab84d1fa551c672cb6d59191d5ad1b44,109243.511733774
0x41af4c2fec49b5cd0428a1181daedbd1ae40f5f568fcf269c685cf492bca1ad2,96630.167564592
0xd2563884f26c19887e81714f8e54e26da52c397b4fe8e489b5694003d3bd9a15,92773.635976193
0xc1aafafd5cbc9a708c39c13325644737b8a1cd4b2a41a1d44a5bb09e33a35439,75649.497790296
0x79c3d79f76c3394fe3016b3023308dbcf0b31f2a8d06f87dbd3dadd30296d67f,61052.469399108
0xf56b4dfcc08b61ad47e4dea4597d830b36fd5c9cdbc7ea2badbd57fdcb5090c1,49935.322346477
0x79204f36215720023b345ecc2883d1f0110b8e888055b72b9a691b0d665392fb,31133.742807703
0x282a37ef92c248b77f67786bf74ae2b9f40662e76cedb278ddc3b3da20ef75c7,25002.559217416
0x61ea903f223438e8abf95463d718149c6f074c085d4d48d506876e87d43d8946,23190.580828713
0x6e602db45aec6110e9393db76acf5a5c46e8e8cfb5ccc2c6cdeb28eecf415fc4,21440.029833384
0x6eea009cceb291cfe35a11864c7954eff937d9620d269c4cc01aa7e8a16deaca,20432.122157296
0x2cc1c18369f8be32de0f965bf23b0f6290806f29a9c2fd8e453900c6ce3b64d8,19250.038888239
0xa09fbd072fbbc026a86e2afc4975e3ae32a1a62f3424cb2aaa77478d224f8e81,18844.996768008
0xac13d8880a70db3a9dd8f8ef8e1b938e4df492cdc2defe515703dd3a595fbda5,17628.184737893
0xac60e2e8a9f6d2f5520bd3f6f8d06b09c5b34067ecb2cf4ae5fb97725b876cad,16898.321185616
0x0e957c0d0188d15828f1293ea135889940ca117262a45ab9f4dc1e8577abb948,15100.287313076
0x0570d2d58eb1ad9646ba9737e432d68ef1c45b4b3254b0ddb34d23f709d111a2,14969.418055126
0x43934fab7e14ed50e1d5066e31def6aa599b1bc11a2f1cb38f1563cdd8d9a8c9,14699.171843209
0x03e5a389b52540d03fdd4b9025e897acc8702ffb5a6e393c62792261c479418f,13900.014424170
0x61e2d98856465ff28e797efd7f857df4556ba39e8a82a776c25b1ef02bb85b4d,12931.422996348
0x8b1af0762df2eb91b4af63c85667b4074fe0ca88579fedffd323a5b0381307e5,12460.233966760
0xf5d1028d95df5f8bb63cc24b1916f8a390aeb50bf01a1498d11bd8bd08d712f2,12195.272659958
0xab7d4fc69424628ad5788d0b73aaf585c893620d6a08242d97bef0fd75749798,11164.240824437
0x7ee3b1f40ae89b2719f3787a8ce818793cddb2c78c220f0f3f529e0ad0282ae4,10509.954455655
0xcefacacc09f8db27f3d3adf615bd9872794e386fcb05018c48ef39a0f7fa5ddc,9844.703750863
0xfe4edf9e94be324b7f03b029a8fe04cd9a9742b8f695de6dd50f37d3edddf16c,9215.472645029
0x8c3e057e50cc406c94ec7dc26c93900228d4e6cccc6350e2d5e9e31fdb81a2fe,8932.671459991
0x0fe4e9898ef87d545bb866258d3c49474c26b2edeee1d24928cc3c168ceed55b,8709.313806383
0xbb406470b8c10a99575e21a47de0ed34a83724fe3c7e31afaa9e09235b2ceee9,8073.650702211
0x1d08160395046f0e78f98e7a781b063e323c5d6ab36da2f851adc8c50d34a43a,8024.560535405
0xb0da91b47373b1a01f931ce12d7b48d9c23859ecef8b9b1b938b3b45b9ad9787,7597.705272814
0x1adf59be0553f71441a776494d68745bcab95aaa673fd4dbc8fc7f3c03ca9c8a,7418.237213925
0xa6a227b7db571b42f488fa7aea82070dc01d5729abdad9d9021e61651708730d,7395.397885229
0xfaaeaeab9ca8b451632d3906cf3193c0d47d76ec4ffe07a6f5ae2e209d8b0d04,6874.735494875
0x12d3a67c302029ec5f85cfa1e9e80cacf82f7e1d682c92f2458b344278334c95,6497.749126731
0x48c21d4f618c2b4a1b690d0e38d7dc18f1569a74254134cae20d2a46a2247bb5,6435.369295077
0xd6d619b56ec8b192d3d745e285824ed835165a3cbd0e6af273af800358d31375,6305.384549592
0x9139c2665afc353e8cd67566043ca4dd9842e6797e4fc7458278f8ca1b10ae14,6146.074711882
0xe6f9dfc1df467fb9b4d959fca7e289275067047529ab18a5c3e3b5a84503ea5d,6096.253040697
0x65154595f4ecb575bcc12c4656b5cad4fbad326e7505d5a0c96280f79ff500dd,6023.622581134
0xd2c9769cf720ede8be3a1ebe0891cb633c8996753afc9a054f89c0964e91e68f,5904.732123744
0x804988b4e5ceb163615675c649ad7cdbd0a195bfed851610b11a5e1e45ab64e3,5885.177512912
0xd4ef8fd0582ca6c181724504b5eb7eb7ede1d4608c6081e62f71dfdd78f4790e,5829.228291727
0xdda1d85b5d98efc74f777192b52185007f5218b9229f904423a1bd72c5ffda38,5575.402733328
0xcf711ff444cb9968d88998ecfe1f592f169553d032a7f682a4b6bc9bad070e26,5572.988952459
0x862a45bbe667b4b9600d0e20ef0fe680af520f48b08db66ae286c200fd6c8515,5298.049223934
0x9749b2f6634575e8c204624bec291887c7515232324231f1fa02fbb46490ee4d,4971.331580926
0xb21dfb87f9a6e40749bd8f3a3740e2279a53c879e8afe94f10f36f8719491923,4884.385767259
0x6762f8213956c90eaa397463dc250af55864e87a0331a041b95a5bb4462e5d78,4696.714848199
0xf9fcfafe7adfb94e478860bc9c76b4522a8d83aba937c69072870d16b151d0f2,4592.958150821
0xe96baf57b595942726c8087e5098e49be87adf2635a7e4ec22046d33808ffe49,4591.236008629
0x244e5da1369ac949dd8cb708093aa8874b7bd2a51345b0ae6633ca2881783300,4518.772978645
0x4ec6b53f8971fb7d1601bbd21ee15183c2912fc7f81c678a0131eb6ca8c89b3d,4508.783716155
0x92c6da78c96474d879b535271f96fd096407d91dab6e411897509bfe8bd3ae9b,4356.486946791
0xd9eaa447ccbf357efe4b22fbb49728bc3ce66c2d34e827fdb8d9939e63c185eb,4337.858688598
0x2b0568f75dc17a1ff70e1c25a8cf723b0b76fd4647392b2cb8edfe63706e4a1c,4210.285218908
0xa8cba02d5fdeb5390053bcd91f4da1e87025d297ccb8cb7dff3069a6810b1459,4072.803998683
0xa323b0a089e394d0d7b963df4234aee78c61ab606f9b6b6b7a750a0a4d2cbee0,4020.218063826
0x93dc0a732972614f5042574df28a141faa0e735e2858181ce25113985d5d4020,3894.039675612
0x42a9e34108afd9465fe4935eed6b5243bd73f5a861e3d535b8b441214f86a3f0,3703.947675537
0xbee44ad22ee3b920f07ea19d518ea0b0d746e7651c2d05483aad6cc8906eac35,3637.330997320
0xad652b9928741efd63db6fd96bacf3ed1e0387b79292e5a1574285c71c22e902,3637.231158371
0x5fd96c8e21b849c52561fc2340cd0b550d30c325bb91ec5027b307e7f29fc6b1,3489.624043656
0x37e618f4f5b264fa03d083d04c2baa0b8b9223874ffcbe32ddeafaa3e11e7fd1,3412.916217424
0x7b8d3b861e22b1fd207e4856edc1e5251a9451a5c2b6f91f315420fbc46ee7e7,3393.234750305
0x3f41d551119c30a3c5787b5cc3f298e09c68bbb5653ccc8e71372e30444a8586,3370.296473767
0x44148065dec7fb2d4375d051606e56ae528f3b1314da659edc1c7ffac123d918,3200.778799336
0xe0416b6b895c64f7b623dce5f929f3d5526233455f351f70fe5db90223990b8f,3197.464542121
0xa92cc6283682c6fc2fb342d2287a4a4a620d5f4fe8ecdc80d9cd36a3f1f55eaf,3175.386664929
0x5efb0afd78b787cfd52730aecea1ef710c40e03e2a7368091636e8bc6778d2b2,2977.428807702
0xf945155738a81da3928ce4f5ecf5a949de31f383d9ce2ba0ce39544b4b44464d,2876.374095518
0x62de0df02309d774a84d014fe31561afbcf280036391a7e4a87d843804db9f63,2853.219027114
0x07f3ed2d3ef4e4dc0508a34a58156db691be4e29928ca7c3b80e855031fe9a1c,2837.760248057
0xec4ce6f0936d56d09f97ad2ec9b128a74d1489cb9f2c50ad711c303a241565f0,2768.398508390
0x16d8b260f4c0d705bf3cc3b66b31dcc80882b3e8d7b64a5081829ffa9e35ed19,2693.062693149
0x9f2678ddf0953478bede949ee1893b4108cec68bef05739874c26f96aa1b3bb9,2493.882456892
0xabc7527d9e026bd6ac389676c66f13a3e915209d0c0293cbaf25a0d76f73f264,2420.100946756
0x38cc26df7f943c67b10fa69c682d1af56d28545426a6befa1f54f6771b9b398c,2412.388342695
0x101c8f6f692f51a91aa3e550a522abb0ff5819b8e09964d2ae411f86b76dd8cb,2290.107662377
0x53f97ad669a195bf288da4351493b3e825ffe6b03f2701aa17ccca4176968f37,2186.411985572
0x41d0f0b8c61af2161c69093e695d61865375e448094b30fd51b3cf3cfe602bd5,2168.000937338
0xbe0ba2e5adb8c5c1e6300459a1b763852fc4bf61ac0996e5f8a5e1eeadddfd0e,2112.413776958
0xb28404a63663376ef2c8d8271d49f8ec9de57dc1b78d8ace3b239af2860d8135,2081.839948654
0x6768a8b90ffaaafd01017fa26b3c3483e4012978fe3d03e8b0bf190c89858761,2059.284954750
0x866597b0156d8564f118e46a15106e9b9e5f2758e86c3f48fb6c1e9c879c7c47,1997.918301709
0x13dd6d0c2f9585f61b403cdbe4e63617fda4fa8f712c99a0c5c30ae41683526f,1973.934654864
0xe1a620a78c173dd6abc3a61bdebeff0a00aa8aca961788fc2fe69de5585fc8a4,1958.890954294
0xf67b54118ecb93858ac526e1e5d39c09f4c8e91dee2ab8dca6cfd7f8c5aed638,1958.890954294
0x15e4da6be2df53391a0c4b988c4240fa2c4d0a3e76027a405ecbc447a1340ec0,1938.315366114
0xbd02e0ba471403e4388c49ab179cdc8866ce3a7e05226a927d46e7e1a0ad6324,1906.311876584
0x1981025dae3c43846ff5b746dbc7ac9a6d5bb1253edc0d505477cf94f7bbbe53,1857.669992182
0x407acd74fc13f307bba0568abd884a4547da7a26b934209d79f0de30d500c549,1850.501652035
0x6fa274e9764c1dd4c90b5fa04c31871d4a9ed59f5a921b069a0f5ab96717a9e1,1816.319882882
0xca7f00922078d988485d1b79d4fa53b9342b678b04148ce122cfbb3b16e67dc5,1723.846315822
0xec0a6562576ea94420c510473244851809f40eec133c99e51bc0efd1fcb4e4c8,1721.865101441
0xe560c52bb087b50580e629a7401bcd5e104bebdeea4e567a98898f1634a6c6c0,1713.201147503
0x8a59b6b0c6c055c20aaecccf702edf349defe1427b83f66eba1771567c4f5b5f,1710.515227116
0xf1fbe88b6c30678db5e1119b42540a47efe96c3bfbadc7ce8a468f781ce6dea5,1707.477707808
0x55d6a33eb4a618f5e64b09fa05709eb386c20fef875b170db56a2ca9960616b1,1701.591856718
0xa9af2758e4665242407823fe1e38788293307d12b4df5360ff1e2defb16ff7d9,1671.453925481
0x1c6f8b885b6e4ddce79d4a8a064e2af71e33126fed6ee6f6ebf82ad4be752ca6,1582.790360247
0x410845c7a6b253142afaa0a3e3662d07a170f869e9b45479b16a6fccfd583ce9,1581.656656330
0x3804912834598fd42764e8f810b2af6ffbfaeec09d6d159d5a534e829f30763a,1518.896234545
0x150bb390c2c9f0d78579e6cb9702d9469fcc018fde7112a8c9336e748e11749f,1481.054941427
